hal_id,titre,auteurs,annee,type_doc,support,doi,url_hal,url_pdf,mots_cles,resume,score,axes,ia,requetes
hal-05691774,"Artificial Intelligence and Sustainable Hospitality: A Structured Narrative Review of Applications, Impacts and Governance Challenges",Vanesyahrani Putri; Heru Suheryadi,2026,ART,South Asian Journal of Social Studies and Economics,,https://hal.science/hal-05691774v1,,,"The hospitality industry sits at an uneasy junction in the global sustainability agenda. It generates substantial environmental and social costs through energy use, water consumption, food waste and labour-intensive operations, yet its economic model depends on continued growth in guest volume and service intensity. Artificial intelligence (AI) has emerged as a technology capable of easing this tension, by optimising resource consumption, forecasting demand, personalising guest experience and reshaping employment structures. This review synthesises published evidence on how AI applications are",7,"acv, carbone, eau, energie, methodo",True,"(""water footprint"" OR ""water consumption"
hal-05685132,Life Cycle Assessment of Pre-training the Lucie 7B Open-Source Large Language Model on the Jean Zay Supercomputer Analyse du cycle de vie du pré-entraînement du modèle de langage open source Lucie 7B sur le supercalculateur Jean Zay,Marc Léobet; Pierre-François Lavallée; Jean-Pierre Lorré,2026,REPORT,,,https://hal.science/hal-05685132v1,https://hal.science/hal-05685132/document,"HPC, Open source, AFNOR SPEC 2314, Frugal AI, Water footprint, Embodied carbon, Pre-training, Large Language Models, Life Cycle Assessment","The environmental impact of training large language models (LLMs) is increasingly scrutinised, yet most published estimates focus on operational energy and disclose little about manufacturing (embodied) emissions, water consumption, or the underlying high performance computing (HPC) infrastructure. We present a life cycle assessment (LCA) of the pre-training of Lucie 7B, an open-source multilingual Foundation Model developed by the OpenLLM-France consortium and trained on the NVIDIA H100 partition of the Jean Zay supercomputer operated by IDRIS (CNRS). The assessment is framed by the AFNOR SPE",7,"acv, carbone, eau, energie, methodo",True,"(""green AI"" OR ""sustainable AI"" OR ""frug | (""life cycle assessment"" OR ""analyse de  | (""water footprint"" OR ""water consumption | (LCA OR ""life cycle"") AND (semiconductor | (training OR inference) AND (GPU OR TPU)"
hal-05594455,A Testbed Framework for Estimating the Environmental Impact of Agentic AI Workflows in HPC,Djoser Simeu; Danilo Carastan-Santos; Laurent Lefèvre; Denis Trystram,2026,UNDEFINED,,,https://hal.science/hal-05594455v1,https://hal.science/hal-05594455/document,"HPC, Agentic AI, Environmental impacts","Agentic AI services heavily rely on High-Performance Computing (HPC) infrastructures and, despite the booming growth of such services and the underlying HPC infrastructure demand, little is known regarding methods to estimate their environmental impacts beyond carbon emissions. This paper proposes a novel methodology that leverages existing Life-Cycle Assessment (LCA) data to estimate the environmental impacts of running agentic AI workflows in HPC infrastructures. We designed our method to facilitate estimating the impacts of design choices where few LCA data is available, a common challenge ",7,"acv, carbone, eau, energie, methodo",True,"(""water footprint"" OR ""water consumption"
hal-05591029,"Mining and raw materials sector: Automated Data Extraction and Contextualization for Life Cycle Inventory (LCI) and Material Flow Analysis (MFA) Across Scientific Articles, Patents and Mining companies Reports Secteur minier et des matières premières : extraction automatisée et contextualisation de données pour les inventaires de cycle de vie (LCI) et l’analyse des flux de matières (MFA) à partir d’articles scientifiques, de brevets et de rapports d’entreprises minières",Charaf Eddine Bejjit; Daniel Monfort; Stéphanie Muller; Frédéric Lai; Antoine Beylot; Diae Hennioui,2026,COMM,EGU General Assembly 2026,10.5194/egusphere-egu26-6501,https://brgm.hal.science/hal-05591029v1,,"Web scraping, Artificial Intelligence AI, Large Language Models LLM, Raw Materials, Material Flow Analysis MFA, Life Cycle Inventory LCI","The assessment of environmental and resource performance of energy transition technologies relies on quantitative information scattered across heterogeneous sources, including scientific articles, patents, and industrial reports, such as ESG (Environmental, Social, and Governance) disclosures. These documents contain key data for Life Cycle Inventory (LCI) and Material Flow Analysis (MFA), such as material and energy intensities, water consumption, mining production volumes, emissions, and technological descriptors. However, this information is predominantly embedded in unstructured PDF docume",7,"acv, carbone, eau, energie, methodo",True,"(""water footprint"" OR ""water consumption"
hal-05680820,Beyond the Energy Efficiency Directive Au-delà de la directive sur l'efficacité énergétique,Théophile Lenoir; Ana Valdivia; Aurélie Bugeau; Anne-Laure Ligozat,2026,OTHER,,,https://hal.science/hal-05680820v1,https://hal.science/hal-05680820/document,,"Over recent years, a wealth of evidence has accumulated documenting the environmental impact of AI. AI systems require vast amounts of energy to train and operate, contribute to CO₂ emissions, demand minerals for infrastructure, consume water for cooling computing hardware, and affect biodiversity through the proliferation of data centers worldwide. However, our understanding of AI’s environmental footprint remains nascent. This is partly because the technology itself is evolving rapidly, and partly because technology companies continue to restrict access to data that could clarify AI’s resour",7,"acv, carbone, eau, energie, methodo",True,"(""environmental impact"" OR ""environmenta | (""green AI"" OR ""sustainable AI"" OR ""frug"
hal-05601113,The Environmental Impacts Of High-Performance Computing: A Systematic Mapping Study,Lucas de Sousa Rosa; Victor P Lima; Danilo Carastan-Santos; Anderson Andrei Da Silva; Marcos Amaris; Raphael Y de Camargo; Alfredo Goldman,2026,UNDEFINED,,,https://hal.science/hal-05601113v2,https://hal.science/hal-05601113/document,"High-Performance Computing, Environmental Impacts, Sustainability, Literature Review, HPC, Systematic Mapping Study","High-performance computing underpins climate modeling, drug discovery, and large-scale artificial intelligence, yet its environmental footprint reaches beyond operational energy to embodied carbon, water consumption, and electronic waste. Knowledge of these impacts remains scattered across fragmented studies, making it hard to see what is well understood and what stays overlooked. This systematic mapping study charted the research landscape on the environmental impacts of high-performance computing to identify dominant themes, recurring methods, and structural gaps. We searched IEEE Xplore, AC",7,"acv, carbone, eau, energie, methodo",True,"(""environmental impact"" OR ""environmenta"
tel-05700606,Optical Wireless Communication for Underwater Data Collection : Channel Modeling and Integration of Artificial Intelligence Communication optique sans fil pour la collecte de données sous-marines : modélisation des canaux et intégration de l'intelligence artificielle,Mohamed Nennouche,2025,THESE,,,https://theses.hal.science/tel-05700606v1,https://theses.hal.science/tel-05700606/document,"Generative AI, Channel modeling, Telecommunication, Artificial intelligence, Underwater wireless optical communications, IA générative, Modélisation du canal de transmission, Télécommunications, Intelligence artificielle, Communications optiques sous-Marines","The emergence of the Internet of Underwater Things, as well as the growing interest in the monitoring of aquatic ecosystems, has reinforced the need for efficient underwater communication systems. In this context, wireless optical communications offer many advantages: potentially high transmission rates, low latency, good energy efficiency, and reduced environmental impact. However, these systems must face several challenges related to the underwater environment, such as light absorption and scattering, pointing errors, and oceanic turbulence. These constraints require the implementation of in",7,"acv, carbone, eau, energie, methodo",True,"(""empreinte carbone"" OR ""impact environn"
hal-05031543,Evaluating Machine Learning Performance Using Python for Neural Network Models in Urban Transportation in New York City Case Study Bewertung der Leistung Maschinellen Lernens unter Verwendung von Python für Neuronale Netzwerkmodelle im städtischen Verkehr: Fallstudie New York City. Evaluación del Rendimiento del Aprendizaje Automático mediante Python para Modelos de Redes Neuronales en el Transporte Urbano: Estudio de Caso en la Ciudad de Nueva York. Évaluation de la Performance de l'Apprentissage Automatique à l'aide de Python pour les Modèles de Réseaux Neuronaux dans le Transport Urbain : Étude de Cas à New York. Valutazione delle Prestazioni dell'Apprendimento Automatico tramite Python per Modelli di Reti Neurali nel Trasporto Urbano: Studio di Caso a New York City.,Mohsen Mohammadagha; Saeed Asadi; Hajar Kazemi Naeini,2025,UNDEFINED,,,https://hal.science/hal-05031543v1,https://hal.science/hal-05031543/document,"Machine Learning, Neural Networks, Python Programming, New York City Case Study, Taxi Trip Duration, Urban Transportation","This study evaluates machine learning methods, focusing on neural networks, to address the XOR classification problem and taxi trip duration prediction in New York City. Addressing the need for robust predictive models, the research developed a custom neural network library with features like forward and backward propagation, Sigmoid and Tanh activation functions, and binary cross-entropy and mean squared error loss functions. The XOR model achieved a significant reduction in loss from 0.7389 to 0.0154 over 10,000 epochs, with predictions closely approximating expected outputs. For the taxi tr",7,"acv, carbone, eau, energie, methodo",True,"(""empreinte carbone"" OR ""impact environn"
hal-05558018,How greener documentation saves energy and reduces e-waste Vers une documentation plus verte – Réduire les déchets électroniques grâce à un contenu allégé,Nolwenn Kerzreho,2025,ART,TCWorld -  Magazine for International Information Management,,https://hal.science/hal-05558018v1,,"AI, Technical communication, Digital sustainability, Content minimalism, Green documentation, E‑waste reduction, Durabilité numérique, IA, Communication technique, Minimalisme de contenu, Documentation verte, Réduction des déchets électroniques","Digital content creation and delivery increasingly rely on cloud infrastructures whose environmental impact is driven by energy consumption, water usage, and the rapid growth of electronic waste. This paper explores how technical communication practices can significantly contribute to reducing e‑waste and lowering the carbon footprint of documentation. Drawing on research about data center waste, global data proliferation, and user‑experience methodologies, it outlines four key levers for greener content: content weight, content definition and resolution, storage and content management, and pr",7,"acv, carbone, eau, energie, methodo",True,"(""carbon footprint"" OR ""carbon intensity"
hal-05369317,LAD-BNet: Réseaux à Double Branche Conscients des Lags pour la Prévision Énergétique Temps Réel sur Dispositifs Edge LAD-BNet: Lag-Aware Dual-Branch Networks for Real-Time Energy Forecasting on Edge Devices,Jean-Philippe Lignier,2025,UNDEFINED,,,https://hal.science/hal-05369317v1,https://hal.science/hal-05369317/document,"Réseaux de neurones, Réseaux convolutifs temporels TCN, Deep learning, Internet des Objets IoT, Smart grid, Edge AI, Bâtiments intelligents, Apprentissage automatique, Edge computing green scheduling carbon cost, Prévision énergétique","La prévision énergétique temps réel sur dispositifs représente un défi majeur pour l'optimisation des réseaux intelligents et des bâtiments connectés. Nous présentons LAD-BNet (Lag-Aware Dual-Branch Network), une architecture neuronale innovante optimisée pour l'inférence avec Google Coral TPU. Notre approche hybride combine une branche dédiée à l'exploitation explicite des temporels avec un Réseau Convolutif Temporel (TCN) à convolutions dilatées, permettant la capture simultanée des dépendances à court et long terme. Testé sur des données réelles de consommation énergétique avec une résoluti",7,"acv, carbone, eau, energie, methodo",True,(training OR inference) AND (GPU OR TPU)
